gpu,dtype,tokens,head_dim,normalize,backend,round,us,max_abs,pass,nodes,replays,measurement
NVIDIA H200,float16,16384,512,1,dao,0,11.928799748420715,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,0,26.857200264930725,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,0,11.580599844455719,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,0,11.384999752044678,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,0,11.608800292015076,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,1,11.934799700975418,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,1,11.60539984703064,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,1,11.377999931573868,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,1,11.564400047063828,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,1,26.817598938941956,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,2,11.567799746990204,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,2,11.371999979019165,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,2,11.60459965467453,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,2,11.917000263929367,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,2,26.811599731445312,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,3,11.555799841880798,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,3,26.819801330566406,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,3,11.92919984459877,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,3,11.60840019583702,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,3,11.39020025730133,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,4,11.600600183010101,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,4,11.923199892044067,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,4,26.805400848388672,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,4,11.557000130414963,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,4,11.388599872589111,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,5,11.61940023303032,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,5,11.408799886703491,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,5,11.558599770069122,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,5,26.862600445747375,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,5,11.96879968047142,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,6,26.857200264930725,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,6,11.557000130414963,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,6,11.414600163698196,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,6,11.615800112485886,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,6,11.963599920272827,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,7,26.885199546813965,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,7,11.968400329351425,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,7,11.613400280475616,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,7,11.37780025601387,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,7,11.55959963798523,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,8,11.369399726390839,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,8,11.66440024971962,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,8,11.951400339603424,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,8,26.979801058769226,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,8,11.63180023431778,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,0,81.48699998855591,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,0,215.81659317016602,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,0,77.87860035896301,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,0,79.94319796562195,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,0,79.84259724617004,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,1,81.49600028991699,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,1,80.37760257720947,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,1,80.42539954185486,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,1,78.40219736099243,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,1,218.66540908813477,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,2,78.94139885902405,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,2,80.5646002292633,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,2,80.48980236053467,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,2,81.58659934997559,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,2,216.6759967803955,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,3,78.45519781112671,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,3,216.66700839996338,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,3,81.61560297012329,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,3,80.40220141410828,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,3,80.5105984210968,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,4,80.49039840698242,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,4,81.60539865493774,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,4,216.71879291534424,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,4,78.47639918327332,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,4,80.47599792480469,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,5,80.95179796218872,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,5,81.01980090141296,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,5,78.92500162124634,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,5,217.18719005584717,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,5,81.59859776496887,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,6,216.62380695343018,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,6,78.3818006515503,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,6,80.47760128974915,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,6,80.47279715538025,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,6,81.5999984741211,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,7,216.70660972595215,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,7,81.59319758415222,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,7,80.41620254516602,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,7,80.44899702072144,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,7,84.93660092353821,,True,16,10,graph_amortized_device
