gpu,dtype,batch_size,seq_len,num_heads,head_dim,total_tokens,normalize,warmup_runs,bench_runs,implementation,kind,avg_ms,min_ms,max_ms,speedup_vs_baseline,speedup_vs_best_non_tc,max_abs_error,rmse,max_rel_error,max_ulp_error,bit_exact_vs_optimized,quant_vs_unfused,reference_source,reference_max_abs_error,absolute_pass,pdf_verified,validated_elements,fp64_ref_tokens
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,baseline,transform,0.0843424,0.083872,0.086048,1,0.192116,0.00190067,0.000207652,0.000474557,0.5,1,n/a,optimized_regression,0,1,0,8388608,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,optimized,transform,0.0250566,0.024544,0.029472,3.36607,0.646676,0.00190067,0.000207652,0.000474557,0.5,1,n/a,optimized_regression,0,1,0,8388608,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,warp,transform,0.0162035,0.015776,0.016832,5.20519,1,0.00190067,0.000207652,0.000474557,0.5,1,n/a,optimized_regression,0,1,0,8388608,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,tc_fast,transform,0.0260131,0.0256,0.027168,3.2423,0.622898,0.00213766,0.000296304,0.000786303,1.24414,0.59799,n/a,optimized_regression,0.00390625,1,0,8388608,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,tc_split,transform,0.0313651,0.030976,0.032768,2.68905,0.51661,0.00190067,0.000207652,0.000474557,0.5,0.999989,n/a,optimized_regression,0.00195312,1,0,8388608,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,unfused_int4,fused_int4,0.0985066,0.097824,0.099424,1,0.230368,,,,,,reference,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,fused_opt_int4,fused_int4,0.0842813,0.083872,0.084896,1.16878,0.269251,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,fused_warp_int4,fused_int4,0.0226928,0.022208,0.028992,4.34087,1,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,fused_tc_fast_int4,fused_int4,0.0262704,0.025856,0.027264,3.74972,0.863816,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,fused_tc_split_int4,fused_int4,0.0315235,0.031104,0.031936,3.12486,0.719869,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,baseline,transform,0.100276,0.09952,0.10224,1,0.253269,0.00181342,0.000207847,0.00046335,0.500005,1,n/a,optimized_regression,0,1,0,16777216,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,optimized,transform,0.0453898,0.044608,0.04992,2.20922,0.559527,0.00181342,0.000207847,0.00046335,0.500005,1,n/a,optimized_regression,0,1,0,16777216,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,warp,transform,0.0253968,0.024576,0.031488,3.94838,1,0.00181342,0.000207847,0.00046335,0.500005,1,n/a,optimized_regression,0,1,0,16777216,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,tc_fast,transform,0.0464838,0.045952,0.0512,2.15723,0.546358,0.00211911,0.000293658,0.000756421,0.995379,0.586755,n/a,optimized_regression,0.00390625,1,0,16777216,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,tc_split,transform,0.0568944,0.056416,0.064224,1.7625,0.446385,0.00181342,0.000207847,0.00046335,0.500005,0.999985,n/a,optimized_regression,0.00195312,1,0,16777216,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,unfused_int4,fused_int4,0.106702,0.105568,0.112288,1,0.293272,,,,,,reference,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,fused_opt_int4,fused_int4,0.0848922,0.084448,0.085408,1.25692,0.368618,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,fused_warp_int4,fused_int4,0.0312928,0.030784,0.03264,3.40981,1,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,fused_tc_fast_int4,fused_int4,0.0468442,0.046336,0.055008,2.27782,0.668019,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,fused_tc_split_int4,fused_int4,0.0570611,0.05664,0.058528,1.86997,0.548408,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,256,131072,true,20,100,baseline,transform,0.198026,0.197184,0.199488,1,0.204693,0.00176239,0.000207763,0.000442476,0.500061,1,n/a,optimized_regression,0,1,0,33554432,4096
NVIDIA H200,fp16,4,1024,32,256,131072,true,20,100,optimized,transform,0.0851955,0.084192,0.086304,2.32437,0.475781,0.00176239,0.000207763,0.000442476,0.500061,1,n/a,optimized_regression,0,1,0,33554432,4096
NVIDIA H200,fp16,4,1024,32,256,131072,true,20,100,warp,transform,0.0405344,0.03936,0.04544,4.88537,1,0.00176239,0.000207763,0.000442476,0.500061,1,n/a,optimized_regression,0,1,0,33554432,4096
NVIDIA H200,fp16,4,1024,32,256,131072,true,20,100,tc_fast,transform,0.0869232,0.086368,0.088096,2.27817,0.466324,0.00224876,0.000293846,0.000677503,0.924377,0.579909,n/a,optimized_regression,0.00390625,1,0,33554432,4096
NVIDIA H200,fp16,4,1024,32,256,131072,true,20,100,tc_split,transform,0.10755,0.107104,0.108256,1.84124,0.376887,0.00176239,0.000207763,0.000442476,0.500061,0.999958,n/a,optimized_regression,0.00195312,1,0,33554432,4096
