gpu,dtype,batch_size,seq_len,num_heads,head_dim,total_tokens,normalize,warmup_runs,bench_runs,implementation,kind,avg_ms,min_ms,max_ms,speedup_vs_baseline,speedup_vs_best_non_tc,max_abs_error,rmse,max_rel_error,max_ulp_error,bit_exact_vs_optimized,quant_vs_unfused,reference_source,reference_max_abs_error,absolute_pass,pdf_verified,validated_elements,fp64_ref_tokens
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,baseline,transform,0.0843085,0.08384,0.086272,1,0.192895,0.00190067,0.000207652,0.000474557,0.5,1,n/a,optimized_regression,0,1,0,8388608,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,optimized,transform,0.0250128,0.024544,0.03056,3.37061,0.650176,0.00190067,0.000207652,0.000474557,0.5,1,n/a,optimized_regression,0,1,0,8388608,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,warp,transform,0.0162627,0.015776,0.024832,5.18416,1,0.00190067,0.000207652,0.000474557,0.5,1,n/a,optimized_regression,0,1,0,8388608,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,tc_fast,transform,0.020511,0.020032,0.025312,4.1104,0.792876,0.00213766,0.000296304,0.000786303,1.24414,0.59799,n/a,optimized_regression,0.00390625,1,0,8388608,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,tc_split,transform,0.0224653,0.022016,0.022944,3.75283,0.723905,0.00190067,0.000207652,0.000474557,0.5,0.999989,n/a,optimized_regression,0.00195312,1,0,8388608,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,unfused_int4,fused_int4,0.0986944,0.097984,0.099712,1,0.229573,,,,,,reference,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,fused_opt_int4,fused_int4,0.0842624,0.083904,0.088224,1.17127,0.268893,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,fused_warp_int4,fused_int4,0.0226576,0.022208,0.033056,4.35591,1,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,fused_tc_fast_int4,fused_int4,0.0207946,0.020416,0.02192,4.74616,1.08959,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,64,131072,true,20,100,fused_tc_split_int4,fused_int4,0.0228275,0.022336,0.02368,4.32348,0.992556,,,,,,bit-exact,optimized_regression,,,,,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,baseline,transform,0.100108,0.099296,0.101056,1,0.253636,0.00181342,0.000207847,0.00046335,0.500005,1,n/a,optimized_regression,0,1,0,16777216,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,optimized,transform,0.0452128,0.044576,0.049568,2.21416,0.56159,0.00181342,0.000207847,0.00046335,0.500005,1,n/a,optimized_regression,0,1,0,16777216,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,warp,transform,0.025391,0.024928,0.027552,3.94266,1,0.00181342,0.000207847,0.00046335,0.500005,1,n/a,optimized_regression,0,1,0,16777216,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,tc_fast,transform,0.0362035,0.03552,0.043168,2.76515,0.701342,0.00211911,0.000293658,0.000756421,0.995379,0.586755,n/a,optimized_regression,0.00390625,1,0,16777216,4096
NVIDIA H200,fp16,4,1024,32,128,131072,true,20,100,tc_split,transform,0.0399834,0.039232,0.045248,2.50375,0.63504,0.00181342,0.000207847,0.00046335,0.500005,0.999985,n/a,optimized_regression,0.00195312,1,0,16777216,4096
