gpu,dtype,batch_size,seq_len,num_heads,head_dim,total_tokens,normalize,warmup_runs,bench_runs,implementation,kind,avg_ms,min_ms,max_ms,speedup_vs_baseline,speedup_vs_best_non_tc,max_abs_error,rmse,max_rel_error,max_ulp_error,bit_exact_vs_optimized,quant_vs_unfused
NVIDIA L40S,fp16,4,1024,32,512,131072,true,20,100,baseline,transform,0.535935,0.535424,0.537696,1,0.743143,0.00193456,0.000207935,0.000468074,0.500093,1,n/a
NVIDIA L40S,fp16,4,1024,32,512,131072,true,20,100,optimized,transform,0.408041,0.403168,0.413728,1.31343,0.976069,0.00193456,0.000207935,0.000468074,0.500093,1,n/a
NVIDIA L40S,fp16,4,1024,32,512,131072,true,20,100,warp,transform,0.398276,0.39264,0.408032,1.34564,1,0.00193456,0.000207935,0.000468074,0.500093,1,n/a
NVIDIA L40S,fp16,4,1024,32,512,131072,true,20,100,tc_fast,transform,0.411844,0.401696,0.420096,1.30131,0.967055,0.00212226,0.00029405,0.000633904,0.995366,0.577125,n/a
NVIDIA L40S,fp16,4,1024,32,512,131072,true,20,100,tc_split,transform,0.412888,0.405728,0.419424,1.29802,0.964611,0.00193456,0.000207936,0.000468074,0.500093,0.999925,n/a
NVIDIA L40S,fp16,4,1024,32,512,131072,true,20,100,unfused_int4,fused_int4,0.621319,0.612192,0.63088,1,0.379041,,,,,,reference
NVIDIA L40S,fp16,4,1024,32,512,131072,true,20,100,fused_opt_int4,fused_int4,0.25185,0.250336,0.25376,2.46702,0.9351,,,,,,bit-exact
NVIDIA L40S,fp16,4,1024,32,512,131072,true,20,100,fused_warp_int4,fused_int4,0.235505,0.234912,0.237056,2.63824,1,,,,,,bit-exact
NVIDIA L40S,fp16,4,1024,32,1024,131072,true,20,100,baseline,transform,1.69254,1.69107,1.69539,1,0.481063,0.00194907,0.000207724,0.000471425,0.500119,1,n/a
NVIDIA L40S,fp16,4,1024,32,1024,131072,true,20,100,optimized,transform,0.819104,0.810432,0.827968,2.06633,0.994034,0.00194907,0.000207724,0.000471425,0.500119,1,n/a
NVIDIA L40S,fp16,4,1024,32,1024,131072,true,20,100,warp,transform,0.814218,0.807456,0.820128,2.07873,1,0.00194907,0.000207724,0.000471425,0.500119,1,n/a
NVIDIA L40S,fp16,4,1024,32,1024,131072,true,20,100,tc_fast,transform,0.816448,0.810048,0.826496,2.07305,0.997268,0.00218087,0.000293845,0.000590885,0.92984,0.575659,n/a
