gpu,dtype,tokens,head_dim,normalize,backend,round,us,max_abs,pass,nodes,replays,measurement
NVIDIA H200,float16,16384,512,1,dao,0,11.93080022931099,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,0,26.813998818397522,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,0,11.554200202226639,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,0,11.368600279092789,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,0,11.539199948310852,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,1,11.907800287008286,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,1,11.536599695682526,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,1,11.394800245761871,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,1,11.559200286865234,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,1,26.80160105228424,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,2,11.550000309944153,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,2,11.375000327825546,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,2,11.53080016374588,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,2,11.922600120306015,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,2,26.796400547027588,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,3,11.563999950885773,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,3,26.791200041770935,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,3,11.901599913835526,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,3,11.529000103473663,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,3,11.397799849510193,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,4,11.535999923944473,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,4,11.929800361394882,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,4,26.860401034355164,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,4,11.57199963927269,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,4,11.4376001060009,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,5,11.54860034584999,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,5,11.37939989566803,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,5,11.574199795722961,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,5,26.94840133190155,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,5,11.984200030565262,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,6,26.957601308822632,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,6,11.629799753427505,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,6,11.38639971613884,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,6,11.560600250959396,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,6,11.967799812555313,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,7,26.879799365997314,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,7,11.95020005106926,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,7,11.558400094509125,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,7,11.380399763584137,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,7,11.596199870109558,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q1/fused_warp,8,11.385399848222733,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f8_q1/fused_warp,8,11.562000215053558,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao,8,11.940199881792068,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,dao_plus_quant,8,26.861798763275146,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,512,1,f4_q0/fused_warp,8,11.585800349712372,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,0,81.49579763412476,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,0,215.8411979675293,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,0,77.82920002937317,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,0,79.9131989479065,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,0,80.41599988937378,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,1,81.59480094909668,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,1,80.44000267982483,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,1,80.45700192451477,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,1,78.36920022964478,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,1,218.34239959716797,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,2,79.21059727668762,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,2,80.46960234642029,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,2,80.41300177574158,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,2,81.50320053100586,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,2,216.49699211120605,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,3,78.39419841766357,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,3,216.5937900543213,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,3,81.52279853820801,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,3,80.45660257339478,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,3,80.54540157318115,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,4,80.52160143852234,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,4,81.59840106964111,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,4,216.6707992553711,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,4,78.37079763412476,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,4,79.98219728469849,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,5,80.81200122833252,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,5,80.65459728240967,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,5,79.06579971313477,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,5,218.65661144256592,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,5,81.61259889602661,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,6,216.7083978652954,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,6,78.48619818687439,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,6,80.76019883155823,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,6,80.99160194396973,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,6,81.61600232124329,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,7,216.65620803833008,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,7,81.6294014453888,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,7,80.41800260543823,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,7,80.98220229148865,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,7,84.75900292396545,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,8,91.90260171890259,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,8,93.11360120773315,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,8,81.98180198669434,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,8,222.0423936843872,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,8,79.62539792060852,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,dao,0,33.567601442337036,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,dao_plus_quant,0,70.99760174751282,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f4_q0/fused_warp,0,24.29240047931671,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f4_q1/fused_warp,0,23.01180064678192,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f8_q1/fused_warp,0,22.947800159454346,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,dao,1,33.583199977874756,0.0,True,16,10,graph_amortized_device
