gpu,variant,dtype,head_dim,implementation,repeats,median_us,min_us,max_us
NVIDIA H200,w0_tc4_v2,bf16,64,fused_tc_fast_int4,3,21.8774,21.8704,21.921300000000002
NVIDIA H200,w0_tc4_v2,bf16,64,fused_tc_split_int4,3,24.6035,24.5994,24.6141
NVIDIA H200,w0_tc4_v2,bf16,64,fused_warp_int4,3,22.791999999999998,22.771199999999997,22.907500000000002
NVIDIA H200,w0_tc4_v2,bf16,64,optimized,3,25.0778,24.9654,25.1072
NVIDIA H200,w0_tc4_v2,bf16,64,tc_fast,3,21.4048,21.3408,21.481299999999997
NVIDIA H200,w0_tc4_v2,bf16,64,tc_split,3,24.3018,24.2746,24.448999999999998
NVIDIA H200,w0_tc4_v2,bf16,64,unfused_int4,3,98.77180000000001,98.6141,98.94749999999999
NVIDIA H200,w0_tc4_v2,bf16,64,warp,3,16.195500000000003,16.1686,16.241
NVIDIA H200,w0_tc4_v2,bf16,128,baseline,3,100.07199999999999,100.044,100.167
NVIDIA H200,w0_tc4_v2,bf16,128,fused_opt_int4,3,84.7162,84.70139999999999,84.81569999999999
NVIDIA H200,w0_tc4_v2,bf16,128,fused_tc_fast_int4,3,38.5206,38.394200000000005,38.5338
NVIDIA H200,w0_tc4_v2,bf16,128,fused_tc_split_int4,3,43.897600000000004,43.8106,43.8989
NVIDIA H200,w0_tc4_v2,bf16,128,fused_warp_int4,3,31.532200000000003,31.425,31.5802
NVIDIA H200,w0_tc4_v2,bf16,128,optimized,3,45.229400000000005,45.1651,45.3341
NVIDIA H200,w0_tc4_v2,bf16,128,tc_fast,3,38.3146,38.2333,38.4166
NVIDIA H200,w0_tc4_v2,bf16,128,tc_split,3,43.4858,43.4579,43.5197
NVIDIA H200,w0_tc4_v2,bf16,128,unfused_int4,3,107.332,107.232,107.487
NVIDIA H200,w0_tc4_v2,bf16,128,warp,3,25.5453,25.5443,25.6582
NVIDIA H200,w0_tc4_v2,bf16,256,baseline,3,197.904,197.902,197.951
NVIDIA H200,w0_tc4_v2,bf16,256,fused_opt_int4,3,98.9574,98.9254,98.9786
NVIDIA H200,w0_tc4_v2,bf16,256,fused_tc_fast_int4,3,72.073,72.0435,72.135
NVIDIA H200,w0_tc4_v2,bf16,256,fused_tc_split_int4,3,82.84700000000001,82.82209999999999,82.9037
NVIDIA H200,w0_tc4_v2,bf16,256,fused_warp_int4,3,52.2614,52.257,52.3366
NVIDIA H200,w0_tc4_v2,bf16,256,optimized,3,85.1456,85.1456,85.1661
NVIDIA H200,w0_tc4_v2,bf16,256,tc_fast,3,70.639,70.6176,70.68860000000001
NVIDIA H200,w0_tc4_v2,bf16,256,tc_split,3,81.24860000000001,81.18079999999999,81.375
NVIDIA H200,w0_tc4_v2,bf16,256,unfused_int4,3,122.828,122.765,122.832
NVIDIA H200,w0_tc4_v2,bf16,256,warp,3,41.1558,41.086999999999996,41.2352
NVIDIA H200,w0_tc4_v2,fp16,64,baseline,3,84.2912,84.1562,84.3312
NVIDIA H200,w0_tc4_v2,fp16,64,fused_opt_int4,3,84.16990000000001,84.1693,84.2698
NVIDIA H200,w0_tc4_v2,fp16,64,fused_tc_fast_int4,3,20.712999999999997,20.6749,20.727
NVIDIA H200,w0_tc4_v2,fp16,64,fused_tc_split_int4,3,22.6694,22.6464,22.695
NVIDIA H200,w0_tc4_v2,fp16,64,fused_warp_int4,3,22.4176,22.3901,22.5264
NVIDIA H200,w0_tc4_v2,fp16,64,optimized,3,24.9341,24.8653,24.9594
NVIDIA H200,w0_tc4_v2,fp16,64,tc_fast,3,20.3779,20.343400000000003,20.4166
NVIDIA H200,w0_tc4_v2,fp16,64,tc_split,3,22.369300000000003,22.3558,22.4115
NVIDIA H200,w0_tc4_v2,fp16,64,unfused_int4,3,98.5133,98.4208,98.70049999999999
NVIDIA H200,w0_tc4_v2,fp16,64,warp,3,16.1098,16.1008,16.1133
NVIDIA H200,w0_tc4_v2,fp16,128,baseline,3,100.2,100.078,100.228
NVIDIA H200,w0_tc4_v2,fp16,128,fused_opt_int4,3,84.8083,84.74080000000001,84.8262
NVIDIA H200,w0_tc4_v2,fp16,128,fused_tc_fast_int4,3,36.3971,36.336,36.5562
NVIDIA H200,w0_tc4_v2,fp16,128,fused_tc_split_int4,3,40.4445,40.3859,40.577299999999994
NVIDIA H200,w0_tc4_v2,fp16,128,fused_warp_int4,3,31.047,30.9971,31.1302
NVIDIA H200,w0_tc4_v2,fp16,128,optimized,3,45.271,45.208600000000004,45.3037
NVIDIA H200,w0_tc4_v2,fp16,128,tc_fast,3,36.2704,36.1885,36.3354
NVIDIA H200,w0_tc4_v2,fp16,128,tc_split,3,40.052200000000006,40.0266,40.107200000000006
NVIDIA H200,w0_tc4_v2,fp16,128,unfused_int4,3,107.45,107.276,107.57700000000001
NVIDIA H200,w0_tc4_v2,fp16,128,warp,3,25.623,25.4925,25.713
NVIDIA H200,w0_tc4_v2,fp16,256,baseline,3,197.78,197.779,197.83999999999997
NVIDIA H200,w0_tc4_v2,fp16,256,fused_opt_int4,3,98.01219999999999,98.0118,98.0934
NVIDIA H200,w0_tc4_v2,fp16,256,fused_tc_fast_int4,3,69.8902,69.8762,69.8957
NVIDIA H200,w0_tc4_v2,fp16,256,fused_tc_split_int4,3,76.29759999999999,76.2701,76.3424
NVIDIA H200,w0_tc4_v2,fp16,256,fused_warp_int4,3,51.2051,51.1213,51.3181
NVIDIA H200,w0_tc4_v2,fp16,256,optimized,3,85.0442,85.0224,85.0618
NVIDIA H200,w0_tc4_v2,fp16,256,tc_fast,3,66.02619999999999,65.96000000000001,66.0339
NVIDIA H200,w0_tc4_v2,fp16,256,tc_split,3,73.71419999999999,73.6362,73.77250000000001
NVIDIA H200,w0_tc4_v2,fp16,256,unfused_int4,3,121.06400000000001,120.899,121.08
NVIDIA H200,w0_tc4_v2,fp16,256,warp,3,39.701800000000006,39.658899999999996,39.7312
NVIDIA H200,w4_tc4_v0,bf16,64,baseline,3,84.2816,84.2608,84.336
NVIDIA H200,w4_tc4_v0,bf16,64,fused_opt_int4,3,84.2662,84.2291,84.37060000000001
NVIDIA H200,w4_tc4_v0,bf16,64,fused_tc_fast_int4,3,27.4493,27.3763,27.5018
NVIDIA H200,w4_tc4_v0,bf16,64,fused_tc_split_int4,3,33.0957,33.0934,33.0979
NVIDIA H200,w4_tc4_v0,bf16,64,fused_warp_int4,3,25.151699999999998,25.0918,25.1786
NVIDIA H200,w4_tc4_v0,bf16,64,optimized,3,24.9699,24.8858,24.993299999999998
NVIDIA H200,w4_tc4_v0,bf16,64,tc_fast,3,27.1798,27.1504,27.2
NVIDIA H200,w4_tc4_v0,bf16,64,tc_split,3,32.6214,32.6045,32.6579
NVIDIA H200,w4_tc4_v0,bf16,64,unfused_int4,3,106.642,106.479,106.729
NVIDIA H200,w4_tc4_v0,bf16,64,warp,3,24.8723,24.8128,24.8906
NVIDIA H200,w4_tc4_v0,bf16,128,baseline,3,100.101,100.096,100.111
NVIDIA H200,w4_tc4_v0,bf16,128,fused_opt_int4,3,84.72290000000001,84.6845,84.77120000000001
NVIDIA H200,w4_tc4_v0,bf16,128,fused_tc_fast_int4,3,49.2787,49.2448,49.2896
NVIDIA H200,w4_tc4_v0,bf16,128,fused_tc_split_int4,3,60.5443,60.542699999999996,60.5738
NVIDIA H200,w4_tc4_v0,bf16,128,fused_warp_int4,3,31.4854,31.4794,31.585299999999997
NVIDIA H200,w4_tc4_v0,bf16,128,optimized,3,45.2592,45.115500000000004,45.286699999999996
NVIDIA H200,w4_tc4_v0,bf16,128,tc_fast,3,49.113,49.0931,49.175999999999995
NVIDIA H200,w4_tc4_v0,bf16,128,tc_split,3,59.9283,59.903,59.960300000000004
NVIDIA H200,w4_tc4_v0,bf16,128,unfused_int4,3,107.304,107.24499999999999,107.42
NVIDIA H200,w4_tc4_v0,bf16,128,warp,3,25.6458,25.5427,25.6621
NVIDIA H200,w4_tc4_v0,bf16,256,baseline,3,197.765,197.747,197.819
NVIDIA H200,w4_tc4_v0,bf16,256,fused_opt_int4,3,98.8922,98.825,98.935
NVIDIA H200,w4_tc4_v0,bf16,256,fused_tc_fast_int4,3,93.27199999999999,93.08030000000001,93.39550000000001
NVIDIA H200,w4_tc4_v0,bf16,256,fused_tc_split_int4,3,115.741,115.622,115.82000000000001
NVIDIA H200,w4_tc4_v0,bf16,256,fused_warp_int4,3,52.1878,52.0282,52.2534
NVIDIA H200,w4_tc4_v0,bf16,256,optimized,3,85.0538,85.0483,85.07140000000001
NVIDIA H200,w4_tc4_v0,bf16,256,tc_fast,3,92.3322,92.26910000000001,92.5414
NVIDIA H200,w4_tc4_v0,bf16,256,tc_split,3,114.08600000000001,113.851,114.115
NVIDIA H200,w4_tc4_v0,bf16,256,unfused_int4,3,122.617,122.496,122.84200000000001
NVIDIA H200,w4_tc4_v0,bf16,256,warp,3,41.0077,40.9546,41.1811
NVIDIA H200,w4_tc4_v0,fp16,64,baseline,3,84.297,84.1962,84.35579999999999
NVIDIA H200,w4_tc4_v0,fp16,64,fused_opt_int4,3,84.2394,84.1296,84.2973
NVIDIA H200,w4_tc4_v0,fp16,64,fused_tc_fast_int4,3,26.2973,26.145000000000003,26.3274
NVIDIA H200,w4_tc4_v0,fp16,64,fused_tc_split_int4,3,31.3936,31.290900000000004,31.424599999999998
NVIDIA H200,w4_tc4_v0,fp16,64,fused_warp_int4,3,25.2122,25.137,25.2522
NVIDIA H200,w4_tc4_v0,fp16,64,optimized,3,24.9459,24.9299,24.9645
NVIDIA H200,w4_tc4_v0,fp16,64,tc_fast,3,26.0531,25.9834,26.1606
NVIDIA H200,w4_tc4_v0,fp16,64,tc_split,3,31.2275,31.1616,31.2349
NVIDIA H200,w4_tc4_v0,fp16,64,unfused_int4,3,106.598,106.32900000000001,106.601
NVIDIA H200,w4_tc4_v0,fp16,64,warp,3,24.8502,24.753,24.985899999999997
NVIDIA H200,w4_tc4_v0,fp16,128,baseline,3,100.157,100.125,100.29299999999999
NVIDIA H200,w4_tc4_v0,fp16,128,fused_opt_int4,3,84.7466,84.68100000000001,84.78819999999999
NVIDIA H200,w4_tc4_v0,fp16,128,fused_tc_fast_int4,3,46.9997,46.8992,47.0115
NVIDIA H200,w4_tc4_v0,fp16,128,fused_tc_split_int4,3,57.160000000000004,57.1277,57.1629
NVIDIA H200,w4_tc4_v0,fp16,128,fused_warp_int4,3,30.918999999999997,30.881,30.9725
NVIDIA H200,w4_tc4_v0,fp16,128,optimized,3,45.1626,45.1344,45.167
