gpu,dtype,tokens,head_dim,normalize,backend,round,us,max_abs,pass,nodes,replays,measurement
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,2,80.41920065879822,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,2,81.54799938201904,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,2,216.72520637512207,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,3,78.48140001296997,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,3,216.7046070098877,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,3,81.59880042076111,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,3,80.37739992141724,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,3,80.47019839286804,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,4,80.41639924049377,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,4,81.59139752388,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,4,216.73040390014648,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,4,78.53080034255981,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,4,80.5840015411377,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,5,80.45840263366699,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,5,80.50959706306458,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,5,78.39400172233582,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,5,216.61999225616455,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,5,81.58720135688782,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,6,216.71640872955322,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,6,78.48820090293884,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,6,80.55300116539001,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,6,80.48539757728577,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,6,81.59160017967224,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,7,216.71700477600098,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,7,81.5991997718811,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,7,81.27999901771545,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,7,84.02820229530334,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,7,85.1177990436554,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q1/fused_warp,8,91.80660247802734,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f8_q1/fused_warp,8,91.05520248413086,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao,8,81.96799755096436,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,dao_plus_quant,8,222.70419597625732,,True,16,10,graph_amortized_device
NVIDIA H200,float16,131072,512,1,f4_q0/fused_warp,8,80.07619976997375,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,dao,0,33.58579874038696,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,dao_plus_quant,0,71.0282027721405,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f4_q0/fused_warp,0,24.29939955472946,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f4_q1/fused_warp,0,23.055799305438995,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f8_q1/fused_warp,0,22.946199774742126,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,dao,1,33.57099890708923,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f8_q1/fused_warp,1,22.96620011329651,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f4_q1/fused_warp,1,23.060399293899536,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f4_q0/fused_warp,1,24.278999865055084,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,dao_plus_quant,1,71.00139856338501,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f4_q0/fused_warp,2,24.242399632930756,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f4_q1/fused_warp,2,23.029600083827972,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f8_q1/fused_warp,2,22.929400205612183,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,dao,2,33.615198731422424,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,dao_plus_quant,2,71.01519703865051,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f4_q0/fused_warp,3,24.3259996175766,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,dao_plus_quant,3,71.04039788246155,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,dao,3,33.5640013217926,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f8_q1/fused_warp,3,22.964200377464294,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f4_q1/fused_warp,3,23.04379940032959,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f8_q1/fused_warp,4,22.956399619579315,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,dao,4,33.55740010738373,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,dao_plus_quant,4,70.73259949684143,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f4_q0/fused_warp,4,24.167999625205994,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f4_q1/fused_warp,4,22.838599979877472,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f8_q1/fused_warp,5,22.85279929637909,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f4_q1/fused_warp,5,22.88219928741455,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f4_q0/fused_warp,5,24.135999381542206,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,dao_plus_quant,5,70.65060138702393,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,dao,5,33.376601338386536,0.0,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,dao_plus_quant,6,70.62979936599731,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f4_q0/fused_warp,6,24.077799916267395,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f4_q1/fused_warp,6,22.859400510787964,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,f8_q1/fused_warp,6,22.825999557971954,,True,16,10,graph_amortized_device
NVIDIA H200,float16,16384,1024,1,dao,6,33.38620066642761,0.0,True,16,10,graph_amortized_device
