gpu,variant,implementation,cache_control,head_dim,total_tokens,duration_us,dram_bytes,byte_source,useful_gflops,useful_flops_per_dram_byte,tensor_active_pct,short_scoreboard,mio_throttle
NVIDIA H100 80GB HBM3,w4_tc4_v1,tc_split,none,128,16384,7.039999999999999,414463.99808,NCU DRAM rate * NCU duration,2085.236363636364,35.41939485215902,4.511698,5.995957,8.49353
NVIDIA H100 80GB HBM3,w4_tc4_v1,warp,all,128,16384,5.4079999999999995,4198400.000287999,NCU DRAM rate * NCU duration,2714.508875739645,3.496585365613802,0.0,1.59265,0.949471
NVIDIA H100 80GB HBM3,w4_tc4_v1,warp,all,64,16384,5.248,2100736.000384,NCU DRAM rate * NCU duration,1198.8292682926829,2.994881793261964,0.0,2.525091,1.282819
NVIDIA H100 80GB HBM3,w4_tc4_v1,warp,none,64,16384,4.992,69376.000512,NCU DRAM rate * NCU duration,1260.3076923076924,90.6863461941967,0.0,2.788634,0.142606
NVIDIA H100 80GB HBM3,w4_tc4_v1,warp,none,128,16384,5.152,699135.998176,NCU DRAM rate * NCU duration,2849.391304347826,20.997436891104627,0.0,1.620567,0.815336
NVIDIA H100 80GB HBM3,w8_tc8_v0,tc_fast,all,128,16384,8.0,4199424.0,NCU DRAM rate * NCU duration,1835.008,3.495732748110217,2.611629,15.827892,12.748183
NVIDIA H100 80GB HBM3,w8_tc8_v0,tc_fast,none,128,16384,7.68,174591.99743999998,NCU DRAM rate * NCU duration,1911.4666666666667,84.0821126698257,2.724256,15.427308,12.689446
NVIDIA H100 80GB HBM3,w8_tc8_v0,tc_split,all,128,16384,9.376,4200191.997696,NCU DRAM rate * NCU duration,1565.706484641638,3.4950935595450625,3.350533,12.642463,15.279083
NVIDIA H100 80GB HBM3,w8_tc8_v0,tc_split,none,128,16384,9.088,330239.99846399995,NCU DRAM rate * NCU duration,1615.3239436619722,44.45271338505139,3.473761,12.582397,14.465083
NVIDIA H100 80GB HBM3,w8_tc8_v0,warp,all,128,16384,5.152,4198656.001344,NCU DRAM rate * NCU duration,2849.391304347826,3.4963721713093134,0.0,1.653115,1.216477
NVIDIA H100 80GB HBM3,w8_tc8_v0,warp,all,64,16384,4.575999999999999,2100479.9999039997,NCU DRAM rate * NCU duration,1374.8811188811192,2.995246800868156,0.0,2.690079,1.627715
NVIDIA H100 80GB HBM3,w8_tc8_v0,warp,none,64,16384,3.808,64511.99820799999,NCU DRAM rate * NCU duration,1652.1680672268908,97.52381223280432,0.0,3.138975,0.577185
NVIDIA H100 80GB HBM3,w8_tc8_v0,warp,none,128,16384,4.704,681727.9996799999,NCU DRAM rate * NCU duration,3120.7619047619055,21.53360872208675,0.0,1.795188,1.129293
